,Optimizer:,lambda,gamma,learning_rate,accuracy
489,Adagrad,0.1,0.01,0.0001,0.9239766081871345
490,RMSprop,0.1,0.01,0.0001,0.8596491228070176
491,Adam,0.1,0.01,0.0001,0.8654970760233918
492,Adagrad,0.1,0.01,0.001,0.9239766081871345
493,RMSprop,0.1,0.01,0.001,0.8654970760233918
494,Adam,0.1,0.01,0.001,0.7953216374269005
495,Adagrad,0.1,0.01,0.01,0.8011695906432749
496,RMSprop,0.1,0.01,0.01,0.8128654970760234
497,Adam,0.1,0.01,0.01,0.7894736842105263
498,Adagrad,0.1,0.01,0.1,0.7953216374269005
499,RMSprop,0.1,0.01,0.1,0.7660818713450293
500,Adam,0.1,0.01,0.1,0.7894736842105263
501,Adagrad,0.1,0.01,1.0,0.7894736842105263
502,RMSprop,0.1,0.01,1.0,0.7894736842105263
503,Adam,0.1,0.01,1.0,0.7894736842105263
504,Adagrad,0.1,0.1,,0.8187134502923976
505,RMSprop,0.1,0.1,,0.8128654970760234
506,Adam,0.1,0.1,,0.7894736842105263
507,Adagrad,0.1,0.1,0.0001,0.9239766081871345
508,RMSprop,0.1,0.1,0.0001,0.8596491228070176
509,Adam,0.1,0.1,0.0001,0.7894736842105263
510,Adagrad,0.1,0.1,0.001,0.9239766081871345
511,RMSprop,0.1,0.1,0.001,0.8596491228070176
512,Adam,0.1,0.1,0.001,0.7660818713450293
513,Adagrad,0.1,0.1,0.01,0.8011695906432749
514,RMSprop,0.1,0.1,0.01,0.8654970760233918
515,Adam,0.1,0.1,0.01,0.7894736842105263
516,Adagrad,0.1,0.1,0.1,0.7953216374269005
517,RMSprop,0.1,0.1,0.1,0.7251461988304093
518,Adam,0.1,0.1,0.1,0.7894736842105263
519,Adagrad,0.1,0.1,1.0,0.7894736842105263
520,RMSprop,0.1,0.1,1.0,0.7719298245614035
521,Adam,0.1,0.1,1.0,0.7894736842105263
522,Adagrad,0.1,1.0,,0.8187134502923976
523,RMSprop,0.1,1.0,,0.631578947368421
524,Adam,0.1,1.0,,0.7894736842105263
525,Adagrad,0.1,1.0,0.0001,0.9239766081871345
526,RMSprop,0.1,1.0,0.0001,0.631578947368421
527,Adam,0.1,1.0,0.0001,0.8596491228070176
528,Adagrad,0.1,1.0,0.001,0.9239766081871345
529,RMSprop,0.1,1.0,0.001,0.631578947368421
530,Adam,0.1,1.0,0.001,0.7894736842105263
531,Adagrad,0.1,1.0,0.01,0.8011695906432749
532,RMSprop,0.1,1.0,0.01,0.631578947368421
533,Adam,0.1,1.0,0.01,0.7894736842105263
534,Adagrad,0.1,1.0,0.1,0.7953216374269005
535,RMSprop,0.1,1.0,0.1,0.631578947368421
536,Adam,0.1,1.0,0.1,0.7894736842105263
537,Adagrad,0.1,1.0,1.0,0.7894736842105263
538,RMSprop,0.1,1.0,1.0,0.631578947368421
539,Adam,0.1,1.0,1.0,0.7894736842105263
540,Adagrad,1.0,0.0,,0.7719298245614035
541,RMSprop,1.0,0.0,,0.7660818713450293
542,Adam,1.0,0.0,,0.7660818713450293
543,Adagrad,1.0,0.0,0.0001,0.9239766081871345
544,RMSprop,1.0,0.0,0.0001,0.8654970760233918
545,Adam,1.0,0.0,0.0001,0.8596491228070176
546,Adagrad,1.0,0.0,0.001,0.9239766081871345
547,RMSprop,1.0,0.0,0.001,0.8596491228070176
548,Adam,1.0,0.0,0.001,0.7777777777777778
549,Adagrad,1.0,0.0,0.01,0.8187134502923976
550,RMSprop,1.0,0.0,0.01,0.7485380116959064
551,Adam,1.0,0.0,0.01,0.7660818713450293
552,Adagrad,1.0,0.0,0.1,0.7660818713450293
553,RMSprop,1.0,0.0,0.1,0.7660818713450293
554,Adam,1.0,0.0,0.1,0.7660818713450293
555,Adagrad,1.0,0.0,1.0,0.7660818713450293
556,RMSprop,1.0,0.0,1.0,0.7660818713450293
557,Adam,1.0,0.0,1.0,0.7660818713450293
558,Adagrad,1.0,0.0001,,0.7719298245614035
559,RMSprop,1.0,0.0001,,0.7660818713450293
560,Adam,1.0,0.0001,,0.7660818713450293
561,Adagrad,1.0,0.0001,0.0001,0.9239766081871345
562,RMSprop,1.0,0.0001,0.0001,0.8654970760233918
563,Adam,1.0,0.0001,0.0001,0.8596491228070176
564,Adagrad,1.0,0.0001,0.001,0.9239766081871345
565,RMSprop,1.0,0.0001,0.001,0.8596491228070176
566,Adam,1.0,0.0001,0.001,0.7777777777777778
567,Adagrad,1.0,0.0001,0.01,0.8187134502923976
568,RMSprop,1.0,0.0001,0.01,0.7368421052631579
569,Adam,1.0,0.0001,0.01,0.7660818713450293
570,Adagrad,1.0,0.0001,0.1,0.7660818713450293
571,RMSprop,1.0,0.0001,0.1,0.7660818713450293
572,Adam,1.0,0.0001,0.1,0.7660818713450293
573,Adagrad,1.0,0.0001,1.0,0.7660818713450293
574,RMSprop,1.0,0.0001,1.0,0.7660818713450293
575,Adam,1.0,0.0001,1.0,0.7660818713450293
576,Adagrad,1.0,0.001,,0.7719298245614035
577,RMSprop,1.0,0.001,,0.7719298245614035
578,Adam,1.0,0.001,,0.7660818713450293
579,Adagrad,1.0,0.001,0.0001,0.9239766081871345
580,RMSprop,1.0,0.001,0.0001,0.8596491228070176
581,Adam,1.0,0.001,0.0001,0.8596491228070176
582,Adagrad,1.0,0.001,0.001,0.9239766081871345
583,RMSprop,1.0,0.001,0.001,0.8654970760233918
584,Adam,1.0,0.001,0.001,0.7777777777777778
585,Adagrad,1.0,0.001,0.01,0.8187134502923976
586,RMSprop,1.0,0.001,0.01,0.7134502923976608
587,Adam,1.0,0.001,0.01,0.7660818713450293
588,Adagrad,1.0,0.001,0.1,0.7660818713450293
589,RMSprop,1.0,0.001,0.1,0.7660818713450293
590,Adam,1.0,0.001,0.1,0.7660818713450293
591,Adagrad,1.0,0.001,1.0,0.7660818713450293
592,RMSprop,1.0,0.001,1.0,0.7660818713450293
593,Adam,1.0,0.001,1.0,0.7660818713450293
594,Adagrad,1.0,0.01,,0.7719298245614035
595,RMSprop,1.0,0.01,,0.7368421052631579
596,Adam,1.0,0.01,,0.7660818713450293
597,Adagrad,1.0,0.01,0.0001,0.9239766081871345
598,RMSprop,1.0,0.01,0.0001,0.8596491228070176
599,Adam,1.0,0.01,0.0001,0.8654970760233918
600,Adagrad,1.0,0.01,0.001,0.9239766081871345
601,RMSprop,1.0,0.01,0.001,0.8654970760233918
602,Adam,1.0,0.01,0.001,0.7660818713450293
603,Adagrad,1.0,0.01,0.01,0.8187134502923976
604,RMSprop,1.0,0.01,0.01,0.8128654970760234
605,Adam,1.0,0.01,0.01,0.7660818713450293
606,Adagrad,1.0,0.01,0.1,0.7660818713450293
607,RMSprop,1.0,0.01,0.1,0.7660818713450293
608,Adam,1.0,0.01,0.1,0.7660818713450293
609,Adagrad,1.0,0.01,1.0,0.7660818713450293
610,RMSprop,1.0,0.01,1.0,0.7660818713450293
611,Adam,1.0,0.01,1.0,0.7660818713450293
612,Adagrad,1.0,0.1,,0.7719298245614035
613,RMSprop,1.0,0.1,,0.8128654970760234
614,Adam,1.0,0.1,,0.7660818713450293
615,Adagrad,1.0,0.1,0.0001,0.9239766081871345
616,RMSprop,1.0,0.1,0.0001,0.8596491228070176
617,Adam,1.0,0.1,0.0001,0.7953216374269005
618,Adagrad,1.0,0.1,0.001,0.9239766081871345
619,RMSprop,1.0,0.1,0.001,0.8596491228070176
620,Adam,1.0,0.1,0.001,0.7602339181286549
621,Adagrad,1.0,0.1,0.01,0.8187134502923976
622,RMSprop,1.0,0.1,0.01,0.8654970760233918
623,Adam,1.0,0.1,0.01,0.7660818713450293
624,Adagrad,1.0,0.1,0.1,0.7660818713450293
625,RMSprop,1.0,0.1,0.1,0.7777777777777778
626,Adam,1.0,0.1,0.1,0.7660818713450293
627,Adagrad,1.0,0.1,1.0,0.7660818713450293
628,RMSprop,1.0,0.1,1.0,0.7660818713450293
629,Adam,1.0,0.1,1.0,0.7660818713450293
630,Adagrad,1.0,1.0,,0.7719298245614035
631,RMSprop,1.0,1.0,,0.631578947368421
632,Adam,1.0,1.0,,0.7660818713450293
633,Adagrad,1.0,1.0,0.0001,0.9239766081871345
634,RMSprop,1.0,1.0,0.0001,0.631578947368421
635,Adam,1.0,1.0,0.0001,0.8596491228070176
636,Adagrad,1.0,1.0,0.001,0.9239766081871345
637,RMSprop,1.0,1.0,0.001,0.631578947368421
638,Adam,1.0,1.0,0.001,0.7777777777777778
639,Adagrad,1.0,1.0,0.01,0.8187134502923976
640,RMSprop,1.0,1.0,0.01,0.631578947368421
641,Adam,1.0,1.0,0.01,0.7660818713450293
642,Adagrad,1.0,1.0,0.1,0.7660818713450293
643,RMSprop,1.0,1.0,0.1,0.631578947368421
644,Adam,1.0,1.0,0.1,0.7660818713450293
645,Adagrad,1.0,1.0,1.0,0.7660818713450293
646,RMSprop,1.0,1.0,1.0,0.631578947368421
647,Adam,1.0,1.0,1.0,0.7660818713450293
