,Optimizer:,lambda,gamma,learning_rate,accuracy
98,Adam,0.0,1.0,0.001,0.7777777777777778
99,Adagrad,0.0,1.0,0.01,0.7953216374269005
100,RMSprop,0.0,1.0,0.01,0.631578947368421
101,Adam,0.0,1.0,0.01,0.8070175438596491
102,Adagrad,0.0,1.0,0.1,0.8128654970760234
103,RMSprop,0.0,1.0,0.1,0.631578947368421
104,Adam,0.0,1.0,0.1,0.8245614035087719
105,Adagrad,0.0,1.0,1.0,0.8187134502923976
106,RMSprop,0.0,1.0,1.0,0.631578947368421
107,Adam,0.0,1.0,1.0,0.8654970760233918
108,Adagrad,0.0001,0.0,,0.8187134502923976
109,RMSprop,0.0001,0.0,,0.7426900584795322
110,Adam,0.0001,0.0,,0.8128654970760234
111,Adagrad,0.0001,0.0,0.0001,0.9239766081871345
112,RMSprop,0.0001,0.0,0.0001,0.8654970760233918
113,Adam,0.0001,0.0,0.0001,0.8596491228070176
114,Adagrad,0.0001,0.0,0.001,0.9239766081871345
115,RMSprop,0.0001,0.0,0.001,0.8596491228070176
116,Adam,0.0001,0.0,0.001,0.7777777777777778
117,Adagrad,0.0001,0.0,0.01,0.7953216374269005
118,RMSprop,0.0001,0.0,0.01,0.7134502923976608
119,Adam,0.0001,0.0,0.01,0.8070175438596491
120,Adagrad,0.0001,0.0,0.1,0.8128654970760234
121,RMSprop,0.0001,0.0,0.1,0.8070175438596491
122,Adam,0.0001,0.0,0.1,0.8245614035087719
123,Adagrad,0.0001,0.0,1.0,0.8187134502923976
124,RMSprop,0.0001,0.0,1.0,0.8187134502923976
125,Adam,0.0001,0.0,1.0,0.8245614035087719
126,Adagrad,0.0001,0.0001,,0.8187134502923976
127,RMSprop,0.0001,0.0001,,0.7485380116959064
128,Adam,0.0001,0.0001,,0.8128654970760234
129,Adagrad,0.0001,0.0001,0.0001,0.9239766081871345
130,RMSprop,0.0001,0.0001,0.0001,0.8654970760233918
131,Adam,0.0001,0.0001,0.0001,0.8596491228070176
132,Adagrad,0.0001,0.0001,0.001,0.9239766081871345
133,RMSprop,0.0001,0.0001,0.001,0.8596491228070176
134,Adam,0.0001,0.0001,0.001,0.7777777777777778
135,Adagrad,0.0001,0.0001,0.01,0.7953216374269005
136,RMSprop,0.0001,0.0001,0.01,0.7134502923976608
137,Adam,0.0001,0.0001,0.01,0.8070175438596491
138,Adagrad,0.0001,0.0001,0.1,0.8128654970760234
139,RMSprop,0.0001,0.0001,0.1,0.7953216374269005
140,Adam,0.0001,0.0001,0.1,0.8245614035087719
141,Adagrad,0.0001,0.0001,1.0,0.8187134502923976
142,RMSprop,0.0001,0.0001,1.0,0.8187134502923976
143,Adam,0.0001,0.0001,1.0,0.8245614035087719
144,Adagrad,0.0001,0.001,,0.8187134502923976
145,RMSprop,0.0001,0.001,,0.7602339181286549
146,Adam,0.0001,0.001,,0.8128654970760234
147,Adagrad,0.0001,0.001,0.0001,0.9239766081871345
148,RMSprop,0.0001,0.001,0.0001,0.8596491228070176
149,Adam,0.0001,0.001,0.0001,0.8596491228070176
150,Adagrad,0.0001,0.001,0.001,0.9239766081871345
151,RMSprop,0.0001,0.001,0.001,0.8654970760233918
152,Adam,0.0001,0.001,0.001,0.7777777777777778
153,Adagrad,0.0001,0.001,0.01,0.7953216374269005
154,RMSprop,0.0001,0.001,0.01,0.7192982456140351
155,Adam,0.0001,0.001,0.01,0.8070175438596491
156,Adagrad,0.0001,0.001,0.1,0.8128654970760234
157,RMSprop,0.0001,0.001,0.1,0.7719298245614035
158,Adam,0.0001,0.001,0.1,0.8245614035087719
159,Adagrad,0.0001,0.001,1.0,0.8187134502923976
160,RMSprop,0.0001,0.001,1.0,0.8128654970760234
161,Adam,0.0001,0.001,1.0,0.8245614035087719
162,Adagrad,0.0001,0.01,,0.8187134502923976
163,RMSprop,0.0001,0.01,,0.7192982456140351
164,Adam,0.0001,0.01,,0.8128654970760234
165,Adagrad,0.0001,0.01,0.0001,0.9239766081871345
166,RMSprop,0.0001,0.01,0.0001,0.8596491228070176
167,Adam,0.0001,0.01,0.0001,0.8654970760233918
168,Adagrad,0.0001,0.01,0.001,0.9239766081871345
169,RMSprop,0.0001,0.01,0.001,0.8654970760233918
170,Adam,0.0001,0.01,0.001,0.8011695906432749
171,Adagrad,0.0001,0.01,0.01,0.7953216374269005
172,RMSprop,0.0001,0.01,0.01,0.8128654970760234
173,Adam,0.0001,0.01,0.01,0.8128654970760234
174,Adagrad,0.0001,0.01,0.1,0.8128654970760234
175,RMSprop,0.0001,0.01,0.1,0.7543859649122807
176,Adam,0.0001,0.01,0.1,0.8245614035087719
177,Adagrad,0.0001,0.01,1.0,0.8187134502923976
178,RMSprop,0.0001,0.01,1.0,0.8011695906432749
179,Adam,0.0001,0.01,1.0,0.8070175438596491
180,Adagrad,0.0001,0.1,,0.8187134502923976
181,RMSprop,0.0001,0.1,,0.8128654970760234
182,Adam,0.0001,0.1,,0.8128654970760234
183,Adagrad,0.0001,0.1,0.0001,0.9239766081871345
184,RMSprop,0.0001,0.1,0.0001,0.8596491228070176
185,Adam,0.0001,0.1,0.0001,0.7894736842105263
186,Adagrad,0.0001,0.1,0.001,0.9239766081871345
187,RMSprop,0.0001,0.1,0.001,0.8596491228070176
188,Adam,0.0001,0.1,0.001,0.7719298245614035
189,Adagrad,0.0001,0.1,0.01,0.7953216374269005
190,RMSprop,0.0001,0.1,0.01,0.8654970760233918
191,Adam,0.0001,0.1,0.01,0.8128654970760234
192,Adagrad,0.0001,0.1,0.1,0.8128654970760234
193,RMSprop,0.0001,0.1,0.1,0.7251461988304093
194,Adam,0.0001,0.1,0.1,0.8245614035087719
195,Adagrad,0.0001,0.1,1.0,0.8187134502923976
196,RMSprop,0.0001,0.1,1.0,0.7602339181286549
197,Adam,0.0001,0.1,1.0,0.9064327485380117
198,Adagrad,0.0001,1.0,,0.8187134502923976
199,RMSprop,0.0001,1.0,,0.631578947368421
200,Adam,0.0001,1.0,,0.8128654970760234
201,Adagrad,0.0001,1.0,0.0001,0.9239766081871345
202,RMSprop,0.0001,1.0,0.0001,0.631578947368421
203,Adam,0.0001,1.0,0.0001,0.8596491228070176
204,Adagrad,0.0001,1.0,0.001,0.9239766081871345
205,RMSprop,0.0001,1.0,0.001,0.631578947368421
206,Adam,0.0001,1.0,0.001,0.7777777777777778
207,Adagrad,0.0001,1.0,0.01,0.7953216374269005
208,RMSprop,0.0001,1.0,0.01,0.631578947368421
209,Adam,0.0001,1.0,0.01,0.8070175438596491
210,Adagrad,0.0001,1.0,0.1,0.8128654970760234
211,RMSprop,0.0001,1.0,0.1,0.631578947368421
212,Adam,0.0001,1.0,0.1,0.8245614035087719
