Hidden Activation Functions,Hidden Derivatives,Output Activation Function,Cost Function,Cost Derivative,Accuracy (%)
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,98.24561403508771
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,37.719298245614034
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,97.36842105263158
"['sigmoid', 'sigmoid']","['sigmoid_derivative', 'sigmoid_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,95.6140350877193
"['softmax', 'softmax']","['<lambda>', '<lambda>']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'softmax']","['<lambda>', '<lambda>']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'leaky_ReLU']","['leaky_ReLU_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'leaky_ReLU']","['ReLU_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,96.49122807017544
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,94.73684210526315
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,94.73684210526315
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,96.49122807017544
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,98.24561403508771
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,97.36842105263158
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,97.36842105263158
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'ReLU']","['<lambda>', 'ReLU_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,37.719298245614034
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'leaky_ReLU']","['<lambda>', 'leaky_ReLU_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,96.49122807017544
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['sigmoid', 'leaky_ReLU']","['sigmoid_derivative', 'leaky_ReLU_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",sigmoid,binary_cross_entropy,binary_cross_entropy_derivative,89.47368421052632
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",softmax,binary_cross_entropy,binary_cross_entropy_derivative,37.719298245614034
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",ReLU,binary_cross_entropy,binary_cross_entropy_derivative,62.28070175438597
"['softmax', 'sigmoid']","['<lambda>', 'sigmoid_derivative']",leaky_ReLU,binary_cross_entropy,binary_cross_entropy_derivative,92.10526315789474
                        'Hidden Size': hidden_size,
                        'Learning Rate': learning_rate,
